,Contact_ID,Source_Folder,Explicit_Competitor_Mention,Implied_Competitor_Mention,Explicit_Switching_Intent,Implied_Switching_Intent,Competitor_Names_Listed,Mentioned_Alcumus_Competitors
39,538174556119,02_09_2024,No,Yes,No,Yes,COMP_SM,Yes
40,538174581204,02_09_2024,No,Yes,No,Yes,COMP_NO,No
41,538174610196,02_09_2024,No,No,No,No,COMP_NO,No
42,538174611436,02_09_2024,No,No,No,No,COMP_NO,No
43,538174625956,02_09_2024,No,No,No,No,COMP_NO,No
44,538174646562,02_09_2024,No,No,No,No,COMP_NO,No
45,538174660865,02_09_2024,No,Yes,No,No,COMP_NO,No
46,538174660901,02_09_2024,No,Yes,No,No,COMP_NO,No
47,538174691798,02_09_2024,No,No,No,No,COMP_NO,No
48,538174695454,02_09_2024,No,No,No,No,COMP_NO,No
49,538174706843,02_09_2024,No,No,No,No,COMP_NO,No
50,538174718790,02_09_2024,No,No,No,No,COMP_NO,No
51,538174749620,02_09_2024,No,No,No,No,COMP_NO,No
52,538174794574,02_09_2024,No,Yes,No,Yes,COMP_NO,No
53,538174795707,02_09_2024,No,No,No,No,COMP_NO,No
54,538174798607,02_09_2024,No,No,No,No,COMP_NO,No
55,538174801707,02_09_2024,No,No,No,No,COMP_NO,No
56,538174809355,02_09_2024,No,No,No,No,COMP_NO,No
57,538174810335,02_09_2024,No,No,No,No,COMP_NO,No
58,538174848979,02_09_2024,No,Yes,No,Yes,COMP_CH,Yes
59,538174853243,02_09_2024,No,No,No,No,COMP_NO,No
60,538174864792,02_09_2024,No,No,No,No,COMP_NO,No
61,538174883066,02_09_2024,No,No,No,No,COMP_NO,No
62,538174885287,02_09_2024,No,No,No,No,COMP_NO,No
63,538174910573,02_09_2024,No,No,No,No,COMP_NO,No
64,538174931615,02_09_2024,No,No,No,No,COMP_NO,No
65,538174952711,02_09_2024,No,No,No,No,COMP_NO,No
66,538174986678,02_09_2024,No,No,No,No,COMP_NO,No
67,538175200446,03_09_2024,No,No,No,No,COMP_NO,No
68,538175217312,03_09_2024,No,No,No,No,COMP_NO,No
69,538175218566,03_09_2024,No,No,No,No,COMP_NO,No
70,538175237356,03_09_2024,No,No,No,No,COMP_NO,No
71,538175237754,03_09_2024,No,No,No,No,COMP_NO,No
72,538175247067,03_09_2024,No,No,No,No,COMP_NO,No
73,538175250055,03_09_2024,No,No,No,No,COMP_NO,No
74,538175284345,03_09_2024,No,No,No,No,COMP_NO,No
75,538175290346,03_09_2024,No,No,No,No,COMP_NO,No
76,538175291105,03_09_2024,No,No,No,No,COMP_NO,No
77,538175291238,03_09_2024,No,No,No,No,COMP_NO,No
78,538175292246,03_09_2024,No,No,No,No,COMP_NO,No
79,538175298248,03_09_2024,No,No,No,No,COMP_NO,No
80,538175300373,03_09_2024,No,No,No,No,COMP_NO,No
81,538175301661,03_09_2024,No,No,No,No,COMP_NO,No
82,538175327421,03_09_2024,No,Yes,No,No,COMP_NO,No
83,538175348257,03_09_2024,No,Yes,No,Yes,COMP_CH,Yes
84,538175369262,03_09_2024,No,No,No,No,COMP_NO,No
85,538175379111,03_09_2024,No,No,No,No,COMP_NO,No
86,538175392382,03_09_2024,No,No,No,No,COMP_NO,No
87,538175395190,03_09_2024,No,No,No,No,COMP_NO,No
88,538175405820,03_09_2024,No,No,No,No,COMP_NO,No
89,538175436482,03_09_2024,No,No,No,No,COMP_NO,No
90,538175438937,03_09_2024,Yes,No,No,No,COMP_SA,Yes
91,538175440996,03_09_2024,No,No,No,No,COMP_NO,No
92,538175441613,03_09_2024,No,Yes,No,Yes,COMP_CO,Yes
93,538175462101,03_09_2024,No,No,No,No,COMP_NO,No
94,538175464552,03_09_2024,No,No,No,No,COMP_NO,No
95,538175494992,03_09_2024,No,No,No,No,COMP_NO,No
96,538175514282,03_09_2024,No,Yes,No,Yes,COMP_NO,No
97,538175541562,03_09_2024,No,No,No,No,COMP_NO,No
98,538175563000,03_09_2024,No,No,No,No,COMP_NO,No
99,538175563015,03_09_2024,No,No,No,No,COMP_NO,No
100,538175566329,03_09_2024,No,No,No,No,COMP_NO,No
101,538175568061,03_09_2024,No,No,No,No,COMP_NO,No
102,538175569269,03_09_2024,No,Yes,No,No,COMP_NO,No
103,538175571494,03_09_2024,No,No,No,No,COMP_NO,No
104,538175572043,03_09_2024,No,No,No,No,COMP_NO,No
105,538175579378,03_09_2024,No,No,No,No,COMP_NO,No
106,538175581992,03_09_2024,No,No,No,No,COMP_NO,No
107,538175583314,03_09_2024,No,No,No,No,COMP_NO,No
108,538175588034,03_09_2024,No,No,No,No,COMP_NO,No
109,538175595423,03_09_2024,No,No,No,No,COMP_NO,No
110,538175603455,03_09_2024,No,No,No,No,COMP_NO,No
111,538175618811,03_09_2024,No,No,No,No,COMP_NO,No
112,538175619732,03_09_2024,No,No,No,No,COMP_NO,Yes
113,538175636284,03_09_2024,No,No,No,No,COMP_NO,No
114,538175639568,03_09_2024,No,No,No,No,COMP_NO,No
115,538175682374,03_09_2024,No,No,No,No,COMP_NO,No
116,538175684222,03_09_2024,No,No,No,No,COMP_NO,No
117,538175702515,03_09_2024,No,No,No,No,COMP_NO,No
118,538175703135,03_09_2024,No,No,No,No,COMP_NO,No
119,538175709430,03_09_2024,No,No,No,No,COMP_NO,No
120,538175710945,03_09_2024,No,No,No,No,COMP_NO,No
121,538175722396,03_09_2024,No,No,No,No,COMP_NO,No
122,538175723473,03_09_2024,No,No,No,No,COMP_NO,No
123,538175734919,03_09_2024,No,No,No,No,COMP_NO,No
124,538175761033,03_09_2024,No,No,No,No,COMP_NO,No
125,538175775488,03_09_2024,No,No,No,No,COMP_NO,No
126,538175779313,03_09_2024,No,No,No,No,COMP_NO,No
127,538175794261,03_09_2024,No,No,No,No,COMP_NO,No
128,538175801914,03_09_2024,No,No,No,No,COMP_NO,No
129,538175808300,03_09_2024,No,Yes,No,Yes,COMP_NO,No
130,538175823802,03_09_2024,No,No,No,No,COMP_NO,No
131,538175833738,03_09_2024,No,No,No,No,COMP_NO,No
132,538175834913,03_09_2024,No,No,No,No,COMP_NO,No
133,565596472741,31_10_2024,No,No,No,No,COMP_NO,No
134,565596491308,31_10_2024,No,No,No,No,COMP_NO,No
135,565596493473,31_10_2024,No,No,No,No,COMP_NO,No
136,565596503250,31_10_2024,No,No,No,No,COMP_NO,No
137,565596504220,31_10_2024,No,No,No,No,COMP_NO,No
138,565596509719,31_10_2024,No,No,No,No,COMP_NO,No
139,565596514156,31_10_2024,No,No,No,No,COMP_NO,No
140,565596520224,31_10_2024,No,Yes,No,Yes,COMP_NO,No
141,565596520429,31_10_2024,Yes,Yes,No,Yes,COMP_NO,Yes
142,565596529813,31_10_2024,No,No,No,Yes,COMP_NO,No
143,565596529931,31_10_2024,No,No,No,No,COMP_NO,No
144,565596530985,31_10_2024,No,No,No,No,COMP_NO,No
145,565596531350,31_10_2024,No,No,No,No,COMP_NO,No
146,565596531615,31_10_2024,No,No,No,No,COMP_NO,No
147,565596535690,31_10_2024,No,No,No,No,COMP_NO,No
148,565596536133,31_10_2024,No,No,No,No,COMP_NO,No
149,565596537168,31_10_2024,No,No,No,No,COMP_NO,No
150,565596553311,31_10_2024,No,No,No,No,COMP_NO,No
151,565596558809,31_10_2024,No,No,No,No,COMP_NO,No
152,565596564014,31_10_2024,No,Yes,No,Yes,COMP_NO,No
153,565596569287,31_10_2024,No,No,No,No,COMP_NO,No
154,565596577859,31_10_2024,No,No,No,No,COMP_NO,No
155,565596579649,31_10_2024,No,No,No,No,COMP_NO,No
156,565596583020,31_10_2024,No,Yes,No,Yes,COMP_CH,Yes
157,565596586850,31_10_2024,No,No,No,No,COMP_NO,No
158,565596589276,31_10_2024,No,No,No,No,COMP_NO,No
159,565596592912,31_10_2024,No,No,No,No,COMP_NO,No
160,565596599207,31_10_2024,No,No,No,No,COMP_NO,No
161,565596601317,31_10_2024,No,No,No,No,COMP_NO,No
162,565596601706,31_10_2024,No,No,No,No,COMP_NO,No
163,565596613016,31_10_2024,No,No,No,No,COMP_NO,No
164,565596615037,31_10_2024,No,No,No,No,COMP_NO,No
165,565596616696,31_10_2024,No,No,No,No,COMP_NO,No
166,565596617601,31_10_2024,No,No,No,No,COMP_NO,No
167,565596623939,31_10_2024,No,No,No,No,COMP_NO,No
168,565596632204,31_10_2024,No,No,No,No,COMP_NO,No
169,565596640006,31_10_2024,No,No,No,No,COMP_NO,No
170,565596640618,31_10_2024,No,No,No,No,COMP_NO,No
171,565596642358,31_10_2024,No,No,No,No,COMP_NO,No
172,565596642541,31_10_2024,No,No,No,No,COMP_NO,No
173,565596655570,31_10_2024,No,No,No,No,COMP_NO,No
174,565596655674,31_10_2024,No,No,No,No,COMP_NO,No
175,565596655874,31_10_2024,No,No,No,No,COMP_NO,No
176,565596666263,31_10_2024,No,No,No,No,COMP_NO,No
177,565596666636,31_10_2024,No,Yes,No,Yes,COMP_NO,No
178,565596669186,31_10_2024,No,No,No,No,COMP_NO,No
179,565596670766,31_10_2024,No,No,No,No,COMP_NO,No
180,565596678097,31_10_2024,No,No,No,No,COMP_NO,No
181,565596689313,31_10_2024,No,No,No,No,COMP_NO,No
182,565596692949,31_10_2024,No,No,No,No,COMP_NO,No
183,565596695849,31_10_2024,No,No,No,No,COMP_NO,No
184,565596707205,31_10_2024,No,No,No,No,COMP_NO,No
185,565596719324,31_10_2024,No,No,No,No,COMP_NO,No
186,565596723351,31_10_2024,No,No,No,No,COMP_NO,No
187,565596727728,31_10_2024,No,No,No,No,COMP_NO,No
188,565596733436,31_10_2024,No,No,No,No,COMP_NO,No
189,565596748700,31_10_2024,Yes,Yes,No,Yes,COMP_AC,Yes
190,565596748911,31_10_2024,No,No,No,No,COMP_NO,No
191,565596749311,31_10_2024,No,No,No,No,COMP_NO,No
192,565596753790,31_10_2024,No,Yes,No,No,COMP_CH,Yes
193,565596756345,31_10_2024,No,No,No,No,COMP_NO,No
194,565596775487,31_10_2024,No,No,No,No,COMP_NO,No
195,565596783144,31_10_2024,No,Yes,No,Yes,COMP_NO,No
196,565596817082,31_10_2024,No,Yes,No,No,COMP_CO,Yes
197,565596818859,31_10_2024,No,No,No,No,COMP_NO,No
198,565596822970,31_10_2024,Yes,Yes,No,Yes,COMP_CH,Yes
199,565596825978,31_10_2024,No,Yes,No,Yes,COMP_NO,No
200,565596830614,31_10_2024,No,No,No,No,COMP_NO,No
201,565596840729,31_10_2024,No,No,No,No,COMP_NO,No
202,565596843252,31_10_2024,No,No,No,No,COMP_NO,No
203,565596858255,31_10_2024,No,No,No,No,COMP_NO,No
204,565596862111,31_10_2024,No,No,No,No,COMP_NO,No
205,565596863452,31_10_2024,No,No,No,No,COMP_NO,No
206,565596864955,31_10_2024,No,No,No,No,COMP_NO,No
207,565596895214,31_10_2024,No,No,No,No,COMP_NO,No
208,565596909296,31_10_2024,No,No,No,No,COMP_NO,No
209,565596910005,31_10_2024,No,No,No,No,COMP_NO,No
210,565596917004,31_10_2024,No,Yes,No,Yes,COMP_NO,No
211,565596919398,31_10_2024,No,No,No,No,COMP_NO,No
212,565596921194,31_10_2024,No,No,No,No,COMP_NO,No
213,565596927350,31_10_2024,No,No,No,No,COMP_NO,No
214,565596930920,31_10_2024,No,No,No,No,COMP_NO,No
215,565596935756,31_10_2024,No,No,No,No,COMP_NO,No
216,565596953177,31_10_2024,No,No,No,No,COMP_NO,No
217,565596953254,31_10_2024,No,No,No,No,COMP_NO,No
218,565596958699,31_10_2024,No,No,No,No,COMP_NO,No
219,565596964457,31_10_2024,No,No,No,No,COMP_NO,No
220,565596965219,31_10_2024,No,No,No,No,COMP_NO,No
221,565596975306,31_10_2024,No,No,No,No,COMP_NO,No
222,565596975722,31_10_2024,No,Yes,No,Yes,COMP_CO,Yes
223,565596989071,31_10_2024,No,Yes,No,Yes,COMP_NO,No
224,565596991616,31_10_2024,No,No,No,No,COMP_NO,No
225,565596991710,31_10_2024,No,No,No,No,COMP_NO,No
226,565596999369,31_10_2024,No,No,No,No,COMP_NO,No
227,565597002630,31_10_2024,No,No,No,No,COMP_NO,No
228,565597005521,31_10_2024,No,No,No,No,COMP_NO,No
229,565597008973,31_10_2024,No,No,No,No,COMP_NO,No
230,565597009011,31_10_2024,No,No,No,No,COMP_NO,No
231,565597028222,31_10_2024,No,No,No,No,COMP_NO,No
232,565597048089,31_10_2024,No,No,No,No,COMP_NO,No
233,565597051696,31_10_2024,No,No,No,No,COMP_NO,No
234,565597056636,31_10_2024,Yes,No,No,No,COMP_NO,Yes
235,565597059075,31_10_2024,No,No,No,No,COMP_NO,No
236,565597071512,31_10_2024,No,No,No,No,COMP_NO,No
237,565597072871,31_10_2024,No,No,No,No,COMP_NO,No
238,565597082165,31_10_2024,No,No,No,Yes,COMP_NO,No
239,565597084244,31_10_2024,No,No,No,No,COMP_NO,No
240,565597085162,31_10_2024,No,No,No,No,COMP_NO,No
241,565597087365,31_10_2024,No,No,No,No,COMP_NO,No
242,565597096091,31_10_2024,No,No,No,No,COMP_NO,No
243,565597130541,31_10_2024,No,No,No,No,COMP_NO,No
244,565597140058,31_10_2024,No,No,No,No,COMP_NO,No
245,537988291357,02_09_2024,No,No,No,No,COMP_NO,No
246,537988297991,02_09_2024,No,No,No,No,COMP_NO,No
247,537988302777,02_09_2024,No,No,No,No,COMP_NO,No
248,537988347561,02_09_2024,No,No,No,No,COMP_NO,No
249,537988403403,02_09_2024,Yes,No,No,No,COMP_NO,Yes
250,537988407354,02_09_2024,No,No,No,No,COMP_NO,No
251,537988408345,02_09_2024,No,No,No,No,COMP_NO,No
252,537988416424,02_09_2024,No,No,No,No,COMP_NO,No
253,537988420170,02_09_2024,No,No,No,No,COMP_NO,No
254,537988426672,02_09_2024,No,No,No,No,COMP_NO,Yes
255,537988431482,02_09_2024,No,No,No,No,COMP_NO,No
256,537988436810,02_09_2024,No,No,No,No,COMP_NO,No
257,537988442139,02_09_2024,No,No,No,No,COMP_NO,No
258,537988446492,02_09_2024,No,No,No,No,COMP_NO,No
259,537988447784,02_09_2024,No,Yes,No,No,COMP_NO,No
260,537988447960,02_09_2024,No,Yes,No,Yes,COMP_CO,Yes
261,537988483119,02_09_2024,No,No,No,No,COMP_NO,No
262,537988487783,02_09_2024,No,No,No,No,COMP_NO,No
263,537988487976,02_09_2024,No,No,No,No,COMP_NO,No
264,537988490105,02_09_2024,No,No,No,No,COMP_NO,No
265,537988495033,02_09_2024,No,No,No,No,COMP_NO,No
266,537988507906,02_09_2024,No,No,No,Yes,COMP_NO,No
267,537988510584,02_09_2024,No,No,No,No,COMP_NO,No
268,537988515470,02_09_2024,No,No,No,No,COMP_NO,No
269,537988517567,02_09_2024,No,No,No,No,COMP_NO,No
270,537988541320,02_09_2024,No,No,No,No,COMP_NO,No
271,538174562758,02_09_2024,No,No,No,No,COMP_NO,No
272,538174567780,02_09_2024,No,No,No,No,COMP_NO,No
273,538174568458,02_09_2024,No,No,No,No,COMP_NO,No
274,538174583174,02_09_2024,No,Yes,No,Yes,COMP_NO,No
275,538174583980,02_09_2024,No,No,No,No,COMP_NO,No
276,538174584515,02_09_2024,No,No,No,No,COMP_NO,No
277,538174592153,02_09_2024,No,No,No,No,COMP_NO,No
278,538174611512,02_09_2024,No,No,No,No,COMP_NO,No
279,538174612115,02_09_2024,No,No,No,No,COMP_NO,No
280,538174613504,02_09_2024,No,No,No,No,COMP_NO,No
281,538174624278,02_09_2024,Yes,Yes,No,Yes,COMP_CH,Yes
282,538174626006,02_09_2024,No,No,No,No,COMP_NO,No
283,538174641199,02_09_2024,No,No,No,No,COMP_NO,No
284,538174642625,02_09_2024,No,No,No,No,COMP_NO,No
285,538174651738,02_09_2024,No,Yes,No,No,COMP_CH,Yes
286,538174651928,02_09_2024,No,No,No,No,COMP_NO,No
287,538174659977,02_09_2024,No,Yes,No,Yes,COMP_NO,No
288,538174661144,02_09_2024,No,No,No,No,COMP_NO,No
289,538174663106,02_09_2024,No,No,No,No,COMP_NO,No
290,538174671653,02_09_2024,No,Yes,No,Yes,COMP_NO,No
291,538174672366,02_09_2024,No,No,No,No,COMP_NO,No
292,538174673615,02_09_2024,No,No,No,No,COMP_NO,No
293,538174698577,02_09_2024,No,No,No,No,COMP_NO,No
294,538174701167,02_09_2024,No,No,No,No,COMP_NO,No
295,538174704889,02_09_2024,No,No,No,No,COMP_NO,No
296,538174710881,02_09_2024,No,No,No,No,COMP_NO,No
297,538174722226,02_09_2024,No,No,No,Yes,COMP_NO,No
298,538174726015,02_09_2024,No,No,No,No,COMP_NO,No
299,538174732579,02_09_2024,No,Yes,No,Yes,COMP_NO,No
300,538174737520,02_09_2024,No,No,No,No,COMP_NO,Yes
301,538174749640,02_09_2024,No,No,No,No,COMP_NO,No
302,538174750279,02_09_2024,No,No,No,No,COMP_NO,No
303,538174750952,02_09_2024,No,No,No,No,COMP_NO,No
304,538174752450,02_09_2024,No,No,No,No,COMP_NO,No
305,538174759018,02_09_2024,No,No,No,No,COMP_NO,No
306,538174760807,02_09_2024,No,No,No,No,COMP_NO,No
307,538174765009,02_09_2024,No,No,No,No,COMP_NO,No
308,538174774693,02_09_2024,Yes,Yes,No,Yes,COMP_NO,Yes
309,538174804168,02_09_2024,No,No,No,No,COMP_NO,No
310,538174806163,02_09_2024,No,No,No,No,COMP_NO,No
311,538174806360,02_09_2024,No,No,No,No,COMP_NO,No
312,538174807491,02_09_2024,No,No,No,No,COMP_NO,No
313,538174810837,02_09_2024,No,No,No,No,COMP_NO,No
314,538174813660,02_09_2024,No,No,No,No,COMP_NO,No
315,538174814065,02_09_2024,No,No,No,No,COMP_NO,No
316,538174827397,02_09_2024,No,Yes,No,Yes,COMP_NO,No
317,538174828737,02_09_2024,No,No,No,No,COMP_NO,No
318,538174857254,02_09_2024,No,Yes,No,No,COMP_NO,No
319,538174860171,02_09_2024,No,No,No,No,COMP_NO,No
320,538174861001,02_09_2024,No,No,No,No,COMP_NO,No
321,538174863785,02_09_2024,No,No,No,No,COMP_NO,No
322,538174863803,02_09_2024,No,No,No,No,COMP_NO,No
323,538174871812,02_09_2024,No,No,No,No,COMP_NO,No
324,538174877116,02_09_2024,No,No,No,No,COMP_NO,No
325,538174886688,02_09_2024,No,No,No,No,COMP_NO,No
326,538174889927,02_09_2024,No,No,No,No,COMP_NO,No
327,538174890206,02_09_2024,No,No,No,No,COMP_NO,No
328,538174911410,02_09_2024,No,No,No,No,COMP_NO,No
329,538174921651,02_09_2024,No,No,No,No,COMP_NO,No
330,538174944166,02_09_2024,No,No,No,No,COMP_NO,No
331,538174949780,02_09_2024,No,No,No,No,COMP_NO,No
332,538174952873,02_09_2024,No,No,No,No,COMP_NO,No
333,538174954862,02_09_2024,No,No,No,No,COMP_NO,No
334,538174956484,02_09_2024,No,No,No,No,COMP_NO,No
335,538174959180,02_09_2024,No,No,No,No,COMP_NO,No
336,538174964047,02_09_2024,No,No,No,No,COMP_NO,No
337,538174971827,02_09_2024,No,No,No,Yes,COMP_NO,No
338,538174972825,02_09_2024,No,No,No,No,COMP_NO,No
339,538174992631,02_09_2024,Yes,Yes,No,Yes,COMP_CH,Yes
340,538174993504,02_09_2024,No,No,No,No,COMP_NO,No
341,538174997227,02_09_2024,No,No,No,No,COMP_NO,No
342,538174999386,02_09_2024,No,No,No,No,COMP_NO,No
343,538175005844,02_09_2024,No,No,No,No,COMP_NO,No
344,538175020498,02_09_2024,No,Yes,No,Yes,COMP_NO,No
345,538175043215,02_09_2024,No,Yes,No,No,COMP_NO,No
346,538175173834,03_09_2024,No,No,No,No,COMP_NO,No
347,538175204265,03_09_2024,No,No,No,Yes,COMP_NO,No
348,538175204439,03_09_2024,No,No,No,No,COMP_NO,No
349,538175207218,03_09_2024,No,No,No,No,COMP_NO,No
350,538175224123,03_09_2024,No,No,No,No,COMP_NO,No
351,538175225923,03_09_2024,No,No,No,No,COMP_NO,No
352,538175226847,03_09_2024,No,No,No,No,COMP_NO,No
353,538175238094,03_09_2024,No,No,No,No,COMP_NO,No
354,538175250422,03_09_2024,No,No,No,No,COMP_NO,No
355,538175259998,03_09_2024,No,No,No,No,COMP_NO,No
356,538175260044,03_09_2024,No,No,No,No,COMP_NO,No
357,538175265272,03_09_2024,No,No,No,No,COMP_NO,No
358,538175269953,03_09_2024,No,No,No,No,COMP_NO,No
359,538175271588,03_09_2024,No,No,No,No,COMP_NO,No
360,538175273198,03_09_2024,No,No,No,No,COMP_NO,No
361,538175305697,03_09_2024,No,Yes,No,Yes,COMP_NO,No
362,538175306900,03_09_2024,Yes,Yes,No,Yes,COMP_CH,Yes
363,538175308179,03_09_2024,No,No,No,No,COMP_NO,No
364,538175309954,03_09_2024,No,No,No,No,COMP_NO,No
365,538175310454,03_09_2024,No,No,No,No,COMP_NO,No
366,538175332425,03_09_2024,No,No,No,No,COMP_NO,No
367,538175333482,03_09_2024,No,No,No,No,COMP_NO,No
368,538175333816,03_09_2024,No,No,No,No,COMP_NO,No
369,538175340824,03_09_2024,No,Yes,No,No,COMP_CH,Yes
370,538175376263,03_09_2024,No,No,No,No,COMP_NO,No
371,538175379149,03_09_2024,No,No,No,No,COMP_NO,No
372,538175379411,03_09_2024,No,No,No,No,COMP_NO,No
373,538175379527,03_09_2024,No,No,No,No,COMP_NO,No
374,538175380054,03_09_2024,No,No,No,No,COMP_NO,No
375,538175396867,03_09_2024,No,No,No,No,COMP_NO,No
376,538175399465,03_09_2024,No,No,No,No,COMP_NO,No
377,538175401097,03_09_2024,No,No,No,No,COMP_NO,No
378,538175410978,03_09_2024,No,No,No,No,COMP_NO,No
379,538175413051,03_09_2024,No,No,No,No,COMP_NO,No
380,538175414572,03_09_2024,Yes,No,No,No,COMP_NO,Yes
381,538175417170,03_09_2024,No,No,No,No,COMP_NO,No
382,538175420257,03_09_2024,No,No,No,No,COMP_NO,No
383,538175420374,03_09_2024,No,No,No,No,COMP_NO,No
384,538175425725,03_09_2024,No,No,No,No,COMP_NO,No
385,538175425856,03_09_2024,No,No,No,No,COMP_NO,No
386,538175427966,03_09_2024,No,No,No,No,COMP_NO,No
387,538175443540,03_09_2024,No,No,No,No,COMP_NO,No
388,538175443633,03_09_2024,No,Yes,No,No,COMP_SA,Yes
389,538175446515,03_09_2024,No,No,No,No,COMP_NO,No
390,538175451545,03_09_2024,No,No,No,No,COMP_NO,No
391,538175465229,03_09_2024,No,No,No,No,COMP_NO,No
392,538175467841,03_09_2024,No,No,No,No,COMP_NO,No
393,538175471375,03_09_2024,No,No,No,No,COMP_NO,No
394,538175471904,03_09_2024,No,No,No,No,COMP_NO,No
395,538175479676,03_09_2024,No,No,No,No,COMP_NO,No
396,538175483647,03_09_2024,Yes,No,No,No,COMP_NO,Yes
397,538175499651,03_09_2024,No,Yes,No,Yes,COMP_CH,Yes
398,538175499703,03_09_2024,No,No,No,No,COMP_NO,No
399,538175522063,03_09_2024,No,No,No,No,COMP_NO,No
400,538175523380,03_09_2024,No,Yes,No,Yes,COMP_CO,Yes
401,538175524597,03_09_2024,No,No,No,No,COMP_NO,No
402,538175544697,03_09_2024,No,No,No,No,COMP_NO,No
403,538175588869,03_09_2024,No,No,No,No,COMP_NO,No
404,538175590092,03_09_2024,No,No,No,No,COMP_NO,No
405,538175600330,03_09_2024,No,No,No,No,COMP_NO,No
406,538175602150,03_09_2024,No,No,No,No,COMP_NO,No
407,538175607965,03_09_2024,No,Yes,No,No,COMP_NO,No
408,538175611976,03_09_2024,No,No,No,No,COMP_NO,No
409,538175614116,03_09_2024,No,No,No,Yes,COMP_NO,No
410,538175620468,03_09_2024,No,No,No,No,COMP_NO,No
411,538175635594,03_09_2024,No,No,No,No,COMP_NO,No
412,538175641330,03_09_2024,No,No,No,No,COMP_NO,No
413,538175647971,03_09_2024,No,No,No,No,COMP_NO,No
414,538175650077,03_09_2024,No,No,No,No,COMP_NO,No
415,538175685938,03_09_2024,No,No,No,No,COMP_NO,No
416,538175686465,03_09_2024,No,No,No,No,COMP_NO,No
417,538175713108,03_09_2024,No,No,No,No,COMP_NO,No
418,538175713903,03_09_2024,No,Yes,No,No,COMP_CH,Yes
419,538175731368,03_09_2024,No,Yes,No,No,COMP_CO,Yes
420,538175733366,03_09_2024,No,No,No,No,COMP_NO,No
421,538175739372,03_09_2024,No,No,No,No,COMP_NO,No
422,538175740846,03_09_2024,No,No,No,No,COMP_NO,No
423,538175747123,03_09_2024,No,No,No,No,COMP_NO,No
424,538175747275,03_09_2024,No,No,No,No,COMP_NO,No
425,538175780929,03_09_2024,No,Yes,No,No,COMP_NO,No
426,538175781530,03_09_2024,No,No,No,No,COMP_NO,No
427,538175806973,03_09_2024,No,Yes,No,No,COMP_CH,Yes
428,565596679544,31_10_2024,No,No,No,No,COMP_NO,No
429,565596680956,31_10_2024,No,No,No,No,COMP_NO,No
430,565596683528,31_10_2024,No,No,No,No,COMP_NO,No
431,565596686739,31_10_2024,No,No,No,No,COMP_NO,No
432,565596687113,31_10_2024,No,No,No,No,COMP_NO,No
433,565596695938,31_10_2024,No,No,No,No,COMP_NO,No
434,565596696166,31_10_2024,No,No,No,No,COMP_NO,No
