,Contact_ID,Start_Date,Prospect Outcome,Prospect Status,Prospect Renewal Date,Renewal Month,Payment Method,Renewal Score at release,Proforma Membership Status,Anchor or Indie,Anchor Group,Proforma Approved Lists,Tenure (Years),Tenure Group,Band,Date Paid,Payment Timeframe,Payment Time Frame 2,Payment Time Frame 3,Total Net Paid,Starting Net,Auto Renewal - Proforma Release,Now on Auto Renewal,Process
13,538342938945,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,23.0,Member Only,Independent,Independent,0,12,4+,Band C1,2024-10-02 04:00:46.833,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
14,538342949843,2024-09-05,Won,Renewed,2024-10-01,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,124,,Band C1,2024-10-01 04:00:27.953,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
15,538342967333,2024-09-05,Won,Renewed,2024-10-01,2024-10-01,CARD,24.0,Member Only,Anchored,1,1,10,4+,Band C1,2024-10-01 04:00:24.127,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
16,538343098842,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,22.0,Member Only,Independent,Independent,0,2,2,Band C1,2024-10-02 04:01:00.157,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
17,538343105587,2024-09-05,Lost,Not Value for Money,2024-10-01,2024-10-01,,26.0,Accredited,Anchored,1,1,3,3,Band A,,,,,,399,1,0,process
18,538343185480,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,24.0,In Progress,Independent,Independent,0,5,4+,Band C2,2024-10-02 04:00:56.300,0.0,On Renewal Date,Paid on Time,949.0,949,1,0,process
19,538343218709,2024-09-05,Lost,Do Not Work for Client,2024-10-02,2024-10-01,,25.5,Accredited,Independent,Independent,0,4,4+,Band D,,,,,,1309,1,0,process
20,538343224611,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,1,1,Band B,2024-10-02 04:01:01.803,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
21,538343276191,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-02 04:01:04.570,0.0,On Renewal Date,Paid on Time,704.0,704,1,0,process
22,538343277583,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,24.0,Member Only,Anchored,2,2,4,4+,Band C1,2024-10-02 04:00:57.013,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
23,538343296365,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band C2,2024-10-02 04:01:05.190,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,0,process
24,538343304853,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,1,1,Band B,2024-12-11 15:54:38.133,70.0,2-3 Months After Renewal,Paid Late,349.0,684,1,1,process
25,538343307012,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,26.5,Accredited,Anchored,1,1,4,4+,Band B,2024-10-02 04:00:58.870,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
26,538343312901,2024-09-05,Won,Renewed,2024-10-01,2024-10-01,BACS,26.5,Accredited,Anchored,2,2,3,3,Band B,2024-10-24 00:00:00.000,23.0,Within 1 Month After Renewal,Paid Late,449.0,599,1,1,process
27,538343313300,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,25.5,Accredited,Independent,Independent,0,5,4+,Band D,2024-10-02 04:00:54.800,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
28,538343333310,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,24.5,Accredited,Anchored,1,1,1,1,Band F1,2024-10-02 04:01:00.803,0.0,On Renewal Date,Paid on Time,2009.0,2009,1,1,process
29,538343349770,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,25.5,Accredited,Independent,Independent,0,5,4+,Band B,2024-10-02 04:00:54.033,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
30,538343379310,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-03 10:00:00.000,1.0,Within 13 Days After Renewal,Paid Late,684.0,684,1,1,process
31,538343392951,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,BACS,28.0,Accredited,Anchored,4-9,4,9,4+,Band B,2024-09-06 00:00:00.000,-26.0,Within 1 Month Prior to Renewal,Paid Early,499.0,599,0,0,process
32,538343589249,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,20.5,Member Only,Independent,Independent,0,1,1,Band C1,2024-10-03 04:00:41.170,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
33,538343594995,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,22.0,Member Only,Anchored,2,2,1,1,Band F1,2024-10-03 04:00:36.367,0.0,On Renewal Date,Paid on Time,1849.0,1849,1,1,process
34,538343600970,2024-09-06,Won,Renewed,2024-10-01,2024-10-01,CARD,25.5,Accredited,Anchored,3,3,124,,Band D,2024-10-01 09:34:36.803,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
35,538343708363,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,24.5,Member Only,Anchored,10+,12,6,4+,Band C1,2024-10-03 04:00:33.337,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
36,538343712617,2024-09-06,Lost,Not Value for Money,2024-10-03,2024-10-01,,24.5,Accredited,Anchored,1,1,1,1,Band C1,,,,,,949,1,0,process
37,538343763537,2024-09-06,Lost,Do Not Work for Client,2024-10-03,2024-10-01,,24.0,Member Only,Anchored,2,2,5,4+,Band C2,,,,,,949,1,0,process
38,538343767964,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band D,2024-10-03 04:00:42.187,0.0,On Renewal Date,Paid on Time,1279.0,1279,1,1,process
39,538343774726,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,22.5,Member Only,Independent,Independent,0,6,4+,Band D,2024-10-03 04:00:31.163,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
40,538343776817,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,23.5,Member Only,Anchored,2,2,2,2,Band B,2024-10-03 04:00:35.597,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
41,538344021361,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,22.5,Member Only,Independent,Independent,0,4,4+,Band C1,2024-10-03 04:00:35.147,0.0,On Renewal Date,Paid on Time,786.2,949,1,1,process
42,538344025910,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-03 04:00:37.897,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
43,538344099905,2024-09-06,Won,Renewed,2024-10-03,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band C1,2024-10-03 04:00:40.760,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
44,538482958421,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,CARD,24.0,In Progress,Anchored,4-9,6,124,,Band E,2024-10-22 14:58:21.133,18.0,Within 1 Month After Renewal,Paid Late,1349.0,1349,1,1,process
45,538482960122,2024-09-09,Lost,Do Not Work for Client,2024-10-04,2024-10-01,,23.0,Member Only,Anchored,1,1,2,2,Band B,,,,,,599,1,0,process
46,538482978373,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,24.5,In Progress,Anchored,1,1,2,2,Band C1,2024-10-05 04:01:29.843,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
47,538483049371,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,24.5,In Progress,Anchored,1,1,2,2,Band C1,2024-10-05 04:01:29.843,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
48,538483091264,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,124,,Band C2,2024-10-01 17:27:35.690,-5.0,Within 13 Days Prior to Renewal,Paid Early,949.0,949,1,1,process
49,538483103896,2024-09-09,Won,Renewed,2024-10-24,2024-10-01,BACS,22.0,Member Only,Independent,Independent,0,2,2,Band F1,2024-11-01 00:00:00.000,8.0,Within 13 Days After Renewal,Paid Late,2039.0,2039,0,0,process
50,538483122030,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band C1,2024-10-04 04:00:42.637,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
51,538483133368,2024-09-09,Won,Application and Money In,2024-10-12,2024-10-01,BACS,28.0,Accredited,Anchored,10+,19,13,4+,Band F1,2024-09-09 00:00:00.000,-33.0,1-2 Months Prior to Renewal,Paid Early,2009.0,2009,0,0,process
52,538483137885,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,26.0,In Progress,Anchored,2,2,14,4+,Band B,2024-10-04 12:26:00.000,-2.0,Within 13 Days Prior to Renewal,Paid Early,684.0,684,1,1,process
53,538483158785,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band C1,2024-10-04 04:00:38.343,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
54,538483170652,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,23.5,Member Only,Anchored,1,1,4,4+,Band A,2024-10-28 15:52:44.367,22.0,Within 1 Month After Renewal,Paid Late,399.0,399,1,1,process
55,538483200191,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,23.0,Member Only,Anchored,1,1,3,3,Band A,2024-10-05 04:01:26.217,0.0,On Renewal Date,Paid on Time,399.0,399,1,1,process
56,538483207945,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,3,3,Band C2,2024-11-05 15:24:44.360,31.0,1-2 Months After Renewal,Paid Late,949.0,949,1,1,process
57,538483220217,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-10-05 04:01:30.407,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
58,538483227982,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,BACS,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-09-27 00:00:00.000,-7.0,Within 13 Days Prior to Renewal,Paid Early,704.0,704,1,0,process
59,538483272728,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,WORLD PAY,25.5,Accredited,Independent,Independent,0,4,4+,Band C2,2024-10-09 12:12:28.300,3.0,Within 13 Days After Renewal,Paid Late,949.0,949,1,1,process
60,538483276429,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,24.0,Member Only,Anchored,1,1,8,4+,Band C1,2024-10-10 13:12:16.797,4.0,Within 13 Days After Renewal,Paid Late,949.0,949,1,1,process
61,538483289984,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,26.0,Accredited,Anchored,1,1,3,3,Band C1,2024-10-04 04:00:28.463,0.0,On Renewal Date,Paid on Time,799.0,799,1,0,process
62,538483295555,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,23.0,Member Only,Anchored,1,1,2,2,Band D,2024-10-01 12:03:16.753,-5.0,Within 13 Days Prior to Renewal,Paid Early,1159.0,1159,1,1,process
63,538483306934,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-10-10 12:06:29.183,4.0,Within 13 Days After Renewal,Paid Late,599.0,599,1,1,process
64,538483310449,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,BACS,25.5,Accredited,Independent,Independent,0,6,4+,Band C1,2024-10-25 00:00:00.000,21.0,Within 1 Month After Renewal,Paid Late,599.8,799,1,0,process
65,538483313179,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,25.0,Accredited,Independent,Independent,0,2,2,Band B,2024-10-18 08:34:20.533,12.0,Within 13 Days After Renewal,Paid Late,704.0,704,1,1,process
66,538483319885,2024-09-09,Won,Renewed,2024-10-24,2024-10-01,CARD,22.0,Member Only,Anchored,2,2,1,1,Band B,2024-11-25 19:02:17.743,32.0,1-2 Months After Renewal,Paid Late,599.0,704,0,1,process
67,538483358784,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,24.0,Member Only,Anchored,1,1,8,4+,Band C1,2024-10-10 13:12:16.797,4.0,Within 13 Days After Renewal,Paid Late,949.0,949,1,1,process
68,538483360079,2024-09-09,Won,Application and Money In,2024-10-24,2024-10-01,BACS,21.5,Member Only,Anchored,1,1,1,1,Group,2024-11-07 00:00:00.000,14.0,Within 1 Month After Renewal,Paid Late,4636.0,4636,0,0,process
69,538483367937,2024-09-09,Lost,Decline 3rd party accreditation requests,2024-10-06,2024-10-01,,24.5,Accredited,Anchored,1,1,1,1,Band B,,,,,,684,1,0,process
70,538483422092,2024-09-09,Lost,No Longer Trading,2024-10-05,2024-10-01,,23.5,Accredited,Independent,Independent,0,1,1,Band B,,,,,,704,1,0,process
71,538483424409,2024-09-09,Lost,Do Not Work for Client,2024-10-05,2024-10-01,,23.5,Accredited,Independent,Independent,0,1,1,Band A,,,,,,459,1,0,process
72,538483424489,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,22.0,Member Only,Anchored,2,2,1,1,Band B,2024-10-04 04:00:41.667,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
73,538483428201,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,CARD,21.5,Member Only,Anchored,1,1,1,1,Band B,2024-10-18 08:33:49.750,13.0,Within 13 Days After Renewal,Paid Late,514.0,704,1,1,process
74,538483438986,2024-09-09,Lost,Do Not Work for Client,2024-10-05,2024-10-01,,21.5,Member Only,Anchored,1,1,1,1,Band C1,,,,,,919,1,0,process
75,538483570293,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band D,2024-10-05 04:01:33.677,0.0,On Renewal Date,Paid on Time,1309.0,1309,1,1,process
76,538483571334,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band D,2024-10-05 04:01:33.677,0.0,On Renewal Date,Paid on Time,1309.0,1309,1,1,process
77,538483597236,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,2,2,2,2,Band E,2024-10-05 04:01:20.247,0.0,On Renewal Date,Paid on Time,1469.0,1469,1,1,process
78,538483614828,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,25.0,Member Only,Anchored,4-9,4,15,4+,Band C1,2024-10-07 12:29:26.627,2.0,Within 13 Days After Renewal,Paid Late,799.0,799,1,1,process
79,538483617126,2024-09-09,Won,Renewed,2024-10-03,2024-10-01,BACS,25.5,In Progress,Anchored,1,1,10,4+,Band F1,2024-10-01 00:00:00.000,-2.0,Within 13 Days Prior to Renewal,Paid Early,1849.0,1849,1,0,process
80,538483620190,2024-09-09,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band B,2024-10-04 04:00:40.687,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
81,538483623775,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,CARD,23.5,Member Only,Anchored,2,2,3,3,Band B,2024-10-31 11:39:12.643,25.0,Within 1 Month After Renewal,Paid Late,549.0,599,1,0,process
82,538483629989,2024-09-09,Won,Renewed,2024-10-06,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,2,2,3,3,Band C1,2024-10-03 16:01:01.470,-3.0,Within 13 Days Prior to Renewal,Paid Early,949.0,949,1,1,process
83,538483649805,2024-09-09,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,24.5,In Progress,Anchored,1,1,3,3,Band E,2024-10-05 04:01:25.890,0.0,On Renewal Date,Paid on Time,1469.0,1469,1,1,process
84,538483816755,2024-09-10,Won,Renewed,2024-10-06,2024-10-01,WORLD PAY,25.5,In Progress,Anchored,1,1,15,4+,Band D,2024-10-06 04:01:07.093,0.0,On Renewal Date,Paid on Time,1159.0,1159,1,1,process
85,538483844094,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,BACS,24.5,Accredited,Anchored,1,1,1,1,Band C2,2024-09-19 00:00:00.000,-15.0,Within 1 Month Prior to Renewal,Paid Early,882.2,1069,1,1,process
86,538483852294,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band E,2024-10-04 04:00:39.187,0.0,On Renewal Date,Paid on Time,1202.2,1469,1,1,process
87,538483862747,2024-09-10,Lost,Not Value for Money,2024-10-19,2024-10-01,,24.5,In Progress,Anchored,1,1,3,3,Band A,,,,,,459,1,0,process
88,538483864548,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,1,1,6,4+,Band B,2024-10-04 04:00:33.387,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
89,538483925538,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-10-09 11:51:36.597,2.0,Within 13 Days After Renewal,Paid Late,599.0,599,1,1,process
90,538483943255,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,23.0,Member Only,Anchored,1,1,3,3,Band A,2024-10-07 04:00:59.033,0.0,On Renewal Date,Paid on Time,399.0,399,1,1,process
91,538483957526,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,25.5,Accredited,Independent,Independent,0,4,4+,Band B,2024-10-07 17:51:35.603,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
92,538483970330,2024-09-10,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,22.0,Member Only,Independent,Independent,0,3,3,Band C1,2024-10-05 04:01:25.557,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
93,538483971445,2024-09-10,Lost,Do Not Work for Client,2024-10-05,2024-10-01,,21.5,Member Only,Anchored,1,1,1,1,Band C1,,,,,,949,1,0,process
94,538483993895,2024-09-10,Lost,Do Not Work for Client,2024-10-01,2024-10-01,,27.5,Accredited,Anchored,4-9,4,5,4+,Band J,,,,,,3439,0,0,process
95,538484191663,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,CARD,23.0,Member Only,Independent,Independent,0,10,4+,Band C1,2024-10-31 15:47:00.000,24.0,Within 1 Month After Renewal,Paid Late,799.0,799,1,1,process
96,538484195084,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,25.0,Accredited,Independent,Independent,0,2,2,Band C2,2024-10-07 12:51:27.310,0.0,On Renewal Date,Paid on Time,1099.0,1099,1,1,process
97,538484201552,2024-09-10,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,23.5,Accredited,Independent,Independent,0,1,1,Band D,2024-10-05 04:01:33.677,0.0,On Renewal Date,Paid on Time,1309.0,1309,1,1,process
98,538484209761,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,25.0,Accredited,Anchored,2,2,1,1,Band D,2024-10-04 04:00:34.813,0.0,On Renewal Date,Paid on Time,954.2,1159,1,1,process
99,538484210158,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.0,In Progress,Anchored,2,2,16,4+,Band A,2024-10-07 04:00:44.253,0.0,On Renewal Date,Paid on Time,399.0,399,1,1,process
100,538484218618,2024-09-10,Lost,No Longer Trading,2024-10-07,2024-10-01,,25.5,In Progress,Anchored,3,3,3,3,Band A,,,,,,399,1,0,process
101,538484221053,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band B,2024-10-04 04:00:43.023,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
102,538484223559,2024-09-10,Won,Renewed,2024-10-06,2024-10-01,CARD,21.5,Member Only,Anchored,1,1,1,1,Band B,2024-10-17 15:51:05.907,11.0,Within 13 Days After Renewal,Paid Late,399.0,599,1,0,process
103,538484230819,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,25.0,Accredited,Anchored,2,2,1,1,Band G,2024-10-04 04:00:25.720,0.0,On Renewal Date,Paid on Time,2439.0,2439,1,0,process
104,538484238987,2024-09-10,Won,Renewed,2024-10-05,2024-10-01,CARD,25.0,Accredited,Independent,Independent,0,2,2,Band C1,2024-09-24 17:24:46.743,-11.0,Within 13 Days Prior to Renewal,Paid Early,949.0,949,1,0,process
105,538484246877,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,23.0,Member Only,Anchored,1,1,3,3,Band A,2024-10-07 04:00:59.033,0.0,On Renewal Date,Paid on Time,399.0,399,1,1,process
106,538484248156,2024-09-10,Won,Application and Money In,2024-10-04,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,3,3,Band A,2025-01-10 13:12:00.000,98.0,2-3 Months After Renewal,Paid Late,399.0,399,1,0,process
107,538484316237,2024-09-10,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,26.0,Accredited,Independent,Independent,0,8,4+,Band B,2024-10-05 04:01:23.593,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
108,538484335905,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.0,Accredited,Anchored,1,1,3,3,Band C1,2024-10-07 04:00:59.383,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
109,538484338819,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,26.0,Accredited,Anchored,1,1,3,3,Band B,2024-10-04 04:00:35.507,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
110,538484341351,2024-09-10,Won,Renewed,2024-10-06,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,1,1,4,4+,Band C1,2024-10-06 04:01:20.537,0.0,On Renewal Date,Paid on Time,949.0,949,1,1,process
111,538484345151,2024-09-10,Won,Renewed,2024-10-05,2024-10-01,WORLD PAY,24.5,Accredited,Anchored,1,1,1,1,Band C2,2024-10-05 04:01:31.950,0.0,On Renewal Date,Paid on Time,1099.0,1099,1,1,process
112,538484361888,2024-09-10,Won,Renewed,2024-10-04,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,2,2,3,3,Band B,2024-10-04 04:00:35.930,0.0,On Renewal Date,Paid on Time,704.0,704,1,1,process
113,538484369069,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.5,In Progress,Anchored,10+,17,15,4+,Band E,2024-10-07 12:13:49.607,0.0,On Renewal Date,Paid on Time,1349.0,1349,1,1,process
114,538484379062,2024-09-10,Lost,Not Affordable,2024-10-07,2024-10-01,,23.5,Member Only,Anchored,1,1,5,4+,Band B,,,,,,704,1,0,process
115,538484417461,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,CARD,26.5,In Progress,Anchored,4-9,6,14,4+,Band G,2024-09-23 10:15:01.190,-14.0,Within 1 Month Prior to Renewal,Paid Early,2249.0,2249,1,1,process
116,538484429897,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,CARD,26.0,Accredited,Anchored,1,1,2,2,Band B,2024-12-11 13:14:31.663,65.0,2-3 Months After Renewal,Paid Late,349.0,684,1,1,process
117,538484436960,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,25.0,In Progress,Anchored,1,1,4,4+,Band B,2024-10-08 16:41:12.913,1.0,Within 13 Days After Renewal,Paid Late,599.0,599,1,1,process
118,538484440948,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,WORLD PAY,26.5,Accredited,Anchored,2,2,3,3,Band C1,2024-10-07 04:01:00.027,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
119,538484447687,2024-09-10,Won,Renewed,2024-10-07,2024-10-01,CARD,23.0,Member Only,Anchored,1,1,2,2,Band C1,2024-11-06 00:00:00.000,30.0,Within 1 Month After Renewal,Paid Late,799.0,799,1,1,process
